Name Raw,Name,Population,Weekly Household Equivalised Income,Product,Multiple of Average,GDP/head,Airports,States,Countries,Fractions
51120: Bruce Rock,Bruce Rock,1019,873,889587,0.79,53.26,Perth,WA,Australia,1
31750: Bulloo,Bulloo,343,1156,396508,1.05,70.53,Charleville,QLD,Australia,1
21270: Buloke,Buloke,6118,735,4496730,0.67,44.84,"Bendigo,Horsham,Mildura",VIC,Australia,"0.4,0.4,0.2"
51190: Bunbury,Bunbury,34393,906,31160058,0.82,55.27,Bunbury,WA,Australia,1
31820: Bundaberg,Bundaberg,102076,742,75740392,0.68,45.27,Bundaberg,QLD,Australia,1
31900: Burdekin,Burdekin,16869,891,15030279,0.81,54.36,Townsville,QLD,Australia,1
31950: Burke,Burke,432,991,428112,0.90,60.46,Normanton,QLD,Australia,1
60610: Burnie,Burnie,20472,802,16418544,0.73,48.93,Launceston,TAS,Australia,1
40700: Burnside,Burnside,46694,1296,60515424,1.18,79.07,Adelaide,SA,Australia,1
11300: Burwood,Burwood,40832,1078,44016896,0.98,65.77,Sydney,NSW,Australia,1
51260: Busselton,Busselton,42911,949,40722539,0.86,57.90,Bunbury,WA,Australia,1
11350: Byron,Byron,36510,996,36363960,0.91,60.76,Ballina,NSW,Australia,1
11400: Cabonne,Cabonne,13844,967,13387148,0.88,58.99,"Bathurst,Parkes",NSW,Australia,"0.5,0.5"
32080: Cairns,Cairns,171970,1012,174033640,0.92,61.74,Cairns,QLD,Australia,1
51310: Cambridge,Cambridge,30119,1763,53099797,1.61,107.56,Perth,WA,Australia,1
11450: Camden,Camden,127806,1258,160779948,1.15,76.75,Sydney,NSW,Australia,1
21370: Campaspe,Campaspe,38541,823,31719243,0.75,50.21,"Shepparton,Bendigo",VIC,Australia,"0.5,0.5"
11500: Campbelltown (NSW),Campbelltown (NSW),180365,962,173511130,0.88,58.69,Sydney,NSW,Australia,1
40910: Campbelltown (SA),Campbelltown (SA),56024,988,55351712,0.90,60.28,Adelaide,SA,Australia,1
11520: Canada Bay,Canada Bay,89210,1518,135420780,1.38,92.61,Sydney,NSW,Australia,1
51330: Canning,Canning,99593,1068,106365324,0.97,65.16,Perth,WA,Australia,1
11570: Canterbury-Bankstown,Canterbury-Bankstown,372066,877,326301882,0.80,53.50,Sydney,NSW,Australia,1
51400: Capel,Capel,19002,1125,21377250,1.02,68.63,Bunbury,WA,Australia,1
